company,email
Torrent (Sikkim),hr.sikkim@torrentpharma.com
Cadila (Sikkim),hr.sikkim@zyduslife.com
Akums Drugs,careers@akums.in
Akums Drugs,hr@akums.in
Windlas Biotech (Dehradun),hr@windlas.com
Jubilant Generics,careers@jubilantgenerics.com
Unichem (Goa),hr.goa@unichemlabs.com
Cadila (Dabhasa),hr.dabhasa@zyduslife.com
Hikal (Bangalore),hr.bangalore@hikal.com
Biocon Biologics,careers@bioconbiologics.com
Syngene (Bangalore),hr@syngeneintl.com
Strides (Bangalore),hr@strides.com
Micro Labs,careers@microlabs.in
Micro Labs,hr@microlabs.in
Group Pharmaceuticals,hr@grouppharma.com
Apotex India,careers.india@apotex.com
Themis Medicare (Vapi),hr.vapi@themismedicare.com
Marksans Pharma (Goa),hr.goa@marksanspharma.com
Indoco Remedies (Goa),hr.goa@indoco.com
Wockhardt (Daman),hr.daman@wockhardt.com
Encube Ethicals,careers@encubeethicals.com
Encube Ethicals,hr@encubeethicals.com
Sentiss Pharma,careers@sentiss.com
Sentiss Pharma,hr@sentiss.com
Akumentis Healthcare,hr@akumentis.com
Eris Lifesciences (Guwahati),hr.guwahati@erislifesciences.com
Mylan Laboratories,careers@mylan.in
Novartis (Hyderabad),careers.india@novartis.com
GSK India,careers.india@gsk.com
Pfizer (Vizag),careers.vizag@pfizer.com
Teva India,careers.india@teva.com
Sandoz India,careers.india@sandoz.com
Fresenius Kabi (Pune),hr.india@fresenius-kabi.com
Hikma Pharmaceuticals,careers@hikma.com
Viatris Global,careers@viatris.com
Perrigo,careers@perrigo.com
Endo Pharmaceuticals,careers@endo.com
Mallinckrodt,careers@mnk.com
Catalent,careers@catalent.com
Lonza,careers@lonza.com
Thermo Fisher,careers@thermofisher.com
Recipharm,careers@recipharm.com
Piramal Pharma Solutions,careers@piramalpharmasolutions.com
Syngene International,businessdevelopment@syngeneintl.com
Wuxi AppTec India,careers.india@wuxiapptec.com
Eurofins India,careers.india@eurofins.com
SGS India (Life Sciences),lifesciences.in@sgs.com
